Beer,Brewery,City,State,Style,Size,ABV,IBUs,Rating,Style Rating,Number of ratings,Weighted Avg,Estimated Calories
Cone Crusher,18th Street Brewery,Gary,IN,American IPA,12 oz.,8.60%,N/A,92,54,19,3.49,258
Hunter,18th Street Brewery,Gary,IN,American Stout,12 oz.,8.00%,N/A,99,99,88,3.77,240
Rise of the Phoenix,18th Street Brewery,Gary,IN,American IPA,12 oz.,7.10%,N/A,84,66,18,3.38,213
Sinister,18th Street Brewery,Gary,IN,American Double / Imperial IPA,12 oz.,9.00%,N/A,98,91,26,3.71,270
Back in Black,21st Amendment Brewery,San Francisco,CA,American Black Ale,12 oz.,6.80%,65,93,78,810,3.54,204
Bitter American,21st Amendment Brewery,San Francisco,CA,American Pale Ale (APA),12 oz.,4.40%,42,91,91,529,3.49,132
Brew Free! or Die IPA,21st Amendment Brewery,San Francisco,CA,American IPA,12 oz.,7.00%,65,96,95,1013,3.62,210
Fireside Chat,21st Amendment Brewery,San Francisco,CA,Winter Warmer,12 oz.,7.90%,45,55,69,380,3.15,237
Hell or High Watermelon Wheat,21st Amendment Brewery,San Francisco,CA,Fruit / Vegetable Beer,12 oz.,4.90%,17,30,58,765,2.85,147
Hop Crisis,21st Amendment Brewery,San Francisco,CA,American Double / Imperial IPA,12 oz.,9.70%,94,98,94,526,3.76,291
Lower De Boom,21st Amendment Brewery,San Francisco,CA,American Barleywine,8.4 oz.,11.50%,92,93,67,329,3.52,345
Marooned On Hog Island,21st Amendment Brewery,San Francisco,CA,American Stout,12 oz.,7.90%,N/A,96,90,221,3.62,237
Monk's Blood,21st Amendment Brewery,San Francisco,CA,Belgian Dark Ale,12 oz.,8.30%,35,96,93,589,3.6,249
Special Edition: Allies Win The War!,21st Amendment Brewery,San Francisco,CA,English Strong Ale,12 oz.,8.50%,52,95,98,248,3.6,255
Ballz Deep Double IPA,7 Seas Brewing Company,Gig Harbor,WA,American Double / Imperial IPA,16 oz.,8.40%,82,78,30,70,3.31,240
British Pale Ale,7 Seas Brewing Company,Gig Harbor,WA,English Pale Ale,16 oz.,5.40%,30,55,87,25,3.15,162
Rude Parrot IPA,7 Seas Brewing Company,Gig Harbor,WA,American IPA,16 oz.,5.90%,75,78,51,35,3.32,176
Abita Amber,Abita Brewing Company,Abita Springs,LA,American Amber / Red Lager,12 oz.,4.50%,17,19,45,866,2.68,135
Jockamo IPA,Abita Brewing Company,Abita Springs,LA,American IPA,12 oz.,6.50%,52,58,34,813,3.17,195
Purple Haze,Abita Brewing Company,Abita Springs,LA,Fruit / Vegetable Beer,12 oz.,4.20%,13,15,41,1263,2.57,142
Colorado Native,AC Golden Brewing Company,Golden,CO,American Amber / Red Lager,12 oz.,5.50%,26,24,55,105,2.77,165
Oatmeal PSA,Airways Brewing Company,Kent,WA,American Pale Ale (APA),16 oz.,5.00%,N/A,89,91,15,3.44,150
Pre Flight Pilsner,Airways Brewing Company,Kent,WA,American Pilsner,16 oz.,5.20%,33,56,93,23,3.16,150
Focal Banger,Alchemist Cannery,Waterbury,VT,Amercian IPA,16 oz.,7.00%,98,100,100,107,3.97,210
Holy Cow IPA,Alchemist Cannery,Waterbury,VT,American IPA,16 oz.,5.40%,85,97,96,68,3.64,162
Heady Topper,Alchemist Cannery,Waterbury,VT,American Double / Imperial IPA,16 oz.,8.00%,120,100,100,1218,4.24,240
Kentucky IPA,Alltech's Lexington Brewing Company,Lexington,KY,American IPA,16 oz.,6.50%,N/A,48,22,112,3.09,195
Desolation IPA,Amnesia Brewing Company,Washougal,WA,American IPA,16 oz.,6.20%,43,78,48,74,3.3,186
California Lager,Anchor Brewing Company,San Francisco,CA,American Pale Lager,12 oz.,4.90%,N/A,61,95,513,3.2,147
Brotherhood Steam Beer,Anchor Brewing Company,San Francisco,CA,American Pale Lager,12 oz.,5.60%,N/A,84,98,34,3.38,168
Anchor IPA,Anchor Brewing Company,San Francisco,CA,American IPA,12 oz.,6.50%,65,91,85,638,3.5,195
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,Boonville,CA,Oatmeal Stout,12 oz.,5.70%,13,96,97,1726,3.63,174
Boont Amber Ale,Anderson Valley Brewing Company,Boonville,CA,American Amber / Red Ale,12 oz.,5.80%,15,88,97,1153,3.42,174
Hop Ottin' IPA,Anderson Valley Brewing Company,Boonville,CA,American IPA,12 oz.,7.00%,80,97,96,2020,3.65,210
Poleeko Gold Pale Ale (2009),Anderson Valley Brewing Company,Boonville,CA,American Pale Ale (APA),12 oz.,5.50%,28,68,58,625,3.24,150
Summer Solstice Cerveza Crema,Anderson Valley Brewing Company,Boonville,CA,Cream Ale,12 oz.,5.60%,4,51,91,580,3.13,168
Winter Solstice,Anderson Valley Brewing Company,Boonville,CA,Winter Warmer,12 oz.,6.90%,6,90,96,1094,3.46,207
Oaky's Oatmeal Stout,Angry Minnow Brewing Company,Hayward,WI,Oatmeal Stout,16 oz.,4.70%,N/A,78,49,22,3.3,141
River Pig Pale Ale,Angry Minnow Brewing Company,Hayward,WI,American Pale Ale (APA),16 oz.,5.40%,N/A,71,60,32,3.25,162
Sky High Rye,Arcadia Brewing Company,Battle Creek,MI,Rye Beer,12 oz.,6.00%,N/A,90,93,305,3.45,180
Whitsun,Arcadia Brewing Company,Battle Creek,MI,American Pale Wheat Ale,12 oz.,6.20%,17,50,82,366,3.12,186
Ninja Porter,Asheville Brewing Company,Asheville,NC,American Porter,12 oz.,5.30%,26,83,75,165,3.37,158
Rocket Girl,Asheville Brewing Company,Asheville,NC,Kolsch,12 oz.,3.20%,27,31,74,58,2.86,96
Shiva IPA,Asheville Brewing Company,Asheville,NC,American IPA,12 oz.,6.00%,69,73,46,188,3.27,180
Independence Pass Ale,Aspen Brewing Company,Aspen,CO,American IPA,12 oz.,7.00%,62,79,53,34,3.32,210
This Season's Blonde,Aspen Brewing Company,Aspen,CO,American Blonde Ale,12 oz.,5.60%,24,39,58,27,2.96,168
Bitter Bitch Imperial IPA,Astoria Brewing Company,Astoria,OR,American Double / Imperial IPA,12 oz.,8.20%,100,97,89,41,3.68,246
Old Red Beard Amber Ale,Astoria Brewing Company,Astoria,OR,American Amber / Red Ale,12 oz.,6.00%,35,47,N/A,9,3.07,180
Poop Deck Porter,Astoria Brewing Company,Astoria,OR,American Porter,12 oz.,6.20%,35,74,56,25,3.28,186
Atwater's Lager,Atwater Brewery,Detroit,MI,Munich Helles Lager,12 oz.,5.00%,12,21,33,84,2.7,150
Dirty Blonde Ale,Atwater Brewery,Detroit,MI,American Blonde Ale,12 oz.,4.20%,10,20,30,166,2.7,126
Grand Circus IPA,Atwater Brewery,Detroit,MI,American IPA,12 oz.,4.20%,62,31,6,130,2.87,126
Black Thunder,Austin Beerworks,Austin,TX,Schwarzbier,12 oz.,5.30%,45,70,82,60,3.25,159
Fire Eagle IPA,Austin Beerworks,Austin,TX,American IPA,12 oz.,6.40%,70,84,67,109,3.38,192
Peacemaker,Austin Beerworks,Austin,TX,American Pale Ale (APA),12 oz.,5.10%,12,28,35,44,2.82,153
Pearl-Snap,Austin Beerworks,Austin,TX,German Pilsener,12 oz.,5.30%,45,81,98,84,3.34,159
Avery India Pale Ale,Avery Brewing Company,Boulder,CO,American IPA,12 oz.,6.50%,69,96,94,1758,3.61,195
Avery Joes Premium American Pilsner,Avery Brewing Company,Boulder,CO,German Pilsener,12 oz.,4.70%,42,78,97,393,3.31,141
Ellies Brown Ale,Avery Brewing Company,Boulder,CO,American Brown Ale,12 oz.,5.50%,17,90,96,1141,3.45,165
White Rascal,Avery Brewing Company,Boulder,CO,Witbier,12 oz.,5.60%,10,70,89,1338,3.26,168
Devils Tramping Ground Tripel,Aviator Brewing Company,Fuquay-Varina,NC,Tripel,12 oz.,9.20%,5,77,65,100,3.3,276
Hog Wild India Pale Ale,Aviator Brewing Company,Fuquay-Varina,NC,American IPA,12 oz.,6.70%,N/A,82,60,139,3.35,201
Back East Ale,Back East Brewing Company,Bloomfield,CT,American Amber / Red Ale,12 oz.,5.00%,N/A,43,50,10,3.01,150
Misty Mountain IPA,Back East Brewing Company,Bloomfield,CT,American IPA,12 oz.,7.00%,N/A,49,25,22,3.11,210
Field 41 Pale Ale,Bale Breaker Brewing Company,Moxee,WA,American Pale Ale (APA),12 oz.,4.80%,38,82,80,23,3.34,144
Top Cutter India Pale Ale,Bale Breaker Brewing Company,Moxee,WA,American IPA,12 oz.,6.80%,70,98,98,70,3.73,204
Big Eye IPA,Ballast Point Brewing Company,San Diego,CA,American IPA,12 oz.,7.00%,85,98,98,1545,3.75,210
Grapefruit Sculpin,Ballast Point Brewing Company,San Diego,CA,American IPA,12 oz.,7.00%,N/A,100,100,604,3.95,210
Longfin Lager,Ballast Point Brewing Company,San Diego,CA,Munich Helles Lager,12 oz.,4.60%,N/A,43,91,160,3.01,138
Sculpin IPA,Ballast Point Brewing Company,San Diego,CA,American IPA,12 oz.,7.00%,70,100,100,2107,4.03,210
Amber Road,Baxter Brewing Company,Lewiston,ME,American Amber / Red Ale,12 oz.,5.50%,35,50,75,35,3.12,165
Summer Swelter Ale,Baxter Brewing Company,Lewiston,ME,American Pale Wheat Ale,12 oz.,4.70%,N/A,47,54,20,3.07,141
Hayride Autumn Ale,Baxter Brewing Company,Lewiston,ME,Rye Beer,12 oz.,6.60%,N/A,68,82,33,3.24,198
Pamola Xtra Pale Ale,Baxter Brewing Company,Lewiston,ME,American Pale Ale (APA),12 oz.,4.90%,28,44,16,70,3.03,147
Phantom Punch Winter Stout,Baxter Brewing Company,Lewiston,ME,Foreign / Export Stout,12 oz.,6.80%,N/A,92,74,54,3.49,204
Stowaway IPA,Baxter Brewing Company,Lewiston,ME,American IPA,12 oz.,6.90%,69,91,83,150,3.48,207
Beanblossom Hard Cider,Beanblossom Hard Ciders (Oliver ...,"Bloomington, IN",IN,Cider,250 ml,8.00%,N/A,60,88,51,3.19,240
Best Brown Ale,Bells Brewery,Galesburg,MI,American Brown Ale,16 oz.,5.80%,N/A,93,98,1288,3.54,174
Two Hearted Ale,Bells Brewery,Galesburg,MI,American IPA,16 oz.,7.00%,50,100,100,3355,4.06,210
Winter White Ale,Bells Brewery,Galesburg,MI,Witbier,16 oz.,5.00%,N/A,85,96,1065,3.39,150
Big Al Irish Red,Big Al Brewing,Seattle,WA,Irish Red Ale,16 oz.,6.00%,26,47,66,18,3.07,180
Big Al Smoked Porter,Big Al Brewing,Seattle,WA,Smoked Beer,16 oz.,5.80%,44,93,91,38,3.52,174
Big Hoppa India Pale Ale,Big Al Brewing,Seattle,WA,American IPA,16 oz.,6.00%,68,69,41,23,3.24,219
Hop Villain,Big Al Brewing,Seattle,WA,American Black Ale,16 oz.,6.40%,65,77,36,30,3.31,N/A
Rat City Blonde,Big Al Brewing,Seattle,WA,American Blonde Ale,16 oz.,4.00%,22,41,55,10,2.98,N/A
Big Bend Hefeweizen,Big Bend Brewing Company,Alpine,TX,Hefeweizen,12 oz.,5.60%,N/A,51,84,9,3.13,168
Number 22 Porter,Big Bend Brewing Company,Alpine,TX,American Porter,12 oz.,6.40%,N/A,68,48,14,3.24,192
Tejas Lager,Big Bend Brewing Company,Alpine,TX,Czech Pilsener,12 oz.,4.70%,N/A,49,91,9,3.11,141
Disconnected Red,Big Choice Brewing,Broomfield,CO,American Amber / Red Ale,16 oz.,6.70%,85,59,82,12,3.18,201
Big Elm IPA,Big Elm Brewing,Sheffield,MA,American IPA,12 oz.,7.00%,N/A,68,42,15,3.24,210
Gerry Dog Stout,Big Elm Brewing,Sheffield,MA,American Stout,12 oz.,6.50%,N/A,64,45,12,3.2,195
House Brand IPA,Big River Brewing Company,Chattanooga,TN,American IPA,12 oz.,6.00%,55,76,49,85,3.3,177
Big Sky IPA,Big Sky Brewing Company,Missoula,MT,American IPA,12 oz.,6.20%,65,93,89,730,3.53,186
Montana Trout Slayer Ale,Big Sky Brewing Company,Missoula,MT,American Pale Wheat Ale,12 oz.,4.70%,35,34,49,435,2.9,150
Moose Drool Brown Ale,Big Sky Brewing Company,Missoula,MT,American Brown Ale,12 oz.,5.30%,26,87,94,1358,3.41,153
Scape Goat Pale Ale,Big Sky Brewing Company,Missoula,MT,English Pale Ale,12 oz.,5.00%,N/A,63,51,481,3.21,150
Summer Honey,Big Sky Brewing Company,Missoula,MT,American Blonde Ale,12 oz.,4.70%,N/A,30,38,357,2.85,150
Bark Bite IPA,Big Wood Brewery,Vadnais Heights,MN,American IPA,16 oz.,6.20%,50,67,41,43,3.23,186
Morning Wood,Big Wood Brewery,Vadnais Heights,MN,Oatmeal Stout,16 oz.,5.50%,N/A,75,73,67,3.28,165
Baby Genius,Bissell Brothers Brewing Company,Portland,ME,American Blonde Ale,16 oz.,4.00%,N/A,90,99,10,3.46,120
Lux,Bissell Brothers Brewing Company,Portland,ME,American Pale Ale (APA),16 oz.,5.10%,N/A,93,N/A,9,3.52,153
Swish,Bissell Brothers Brewing Company,Portland,ME,American Double / Imperial IPA,16 oz.,8.00%,N/A,99,98,20,3.89,240
The Substance Ale,Bissell Brothers Brewing Company,Portland,ME,American Pale Ale (APA),16 oz.,6.50%,N/A,98,100,65,3.77,195
1327 Pod's ESB,Blue Blood Brewing Company,Lincoln,NE,Extra Special / Strong Bitter (ESB),12 oz.,5.60%,37,19,3,19,2.67,168
1335 Wicked Snout,Blue Blood Brewing Company,Lincoln,NE,Saison / Farmhouse Ale,12 oz.,6.40%,N/A,16,N/A,9,2.59,192
467 Ethan's Stout,Blue Blood Brewing Company,Lincoln,NE,American Stout,12 oz.,5.00%,N/A,41,18,11,2.98,150
834 Happy As Ale,Blue Blood Brewing Company,Lincoln,NE,American Pale Ale (APA),12 oz.,4.60%,35,16,4,10,2.62,138
Full Nelson Pale Ale,Blue Mountain Brewery,Afton,VA,American Pale Ale (APA),12 oz.,5.90%,60,85,86,240,3.39,177
Blue Point Summer Ale,Blue Point Brewing Company,Patchogue,NY,American Blonde Ale,12 oz.,4.40%,16,21,21,199,2.7,132
Blue Point White IPA,Blue Point Brewing Company,Patchogue,NY,American IPA,12 oz.,6.00%,40,72,45,108,3.26,180
Toasted Lager,Blue Point Brewing Company,Patchogue,NY,Vienna Lager,12 oz.,5.50%,28,51,95,688,3.13,165
Toxic Sludge,Blue Point Brewing Company,Patchogue,NY,American Black Ale,16 oz.,7.00%,40,91,67,227,3.48,210
Cherny Bock,Bohemian Brewery,Midvale,UT,Bock,12 oz.,4.00%,N/A,61,84,60,3.19,120
Czech Pilsner,Bohemian Brewery,Midvale,UT,Czech Pilsener,12 oz.,4.00%,N/A,42,73,80,3.01,120
Viennese Lager,Bohemian Brewery,Midvale,UT,Vienna Lager,12 oz.,4.00%,N/A,32,72,54,2.87,120
Bomb Lager,Bomb Beer Company,New York,NY,Munich Helles Lager,12 oz.,5.10%,N/A,18,19,32,2.59,N/A
RPM IPA,Boneyard Beer,Bend,OR,American IPA,16 oz.,7.50%,75,98,99,192,3.76,225
Brush Creek Blonde,Bonfire Brewing Company,"Eagle, CO",CO,American Blonde Ale,16 oz.,4.80%,N/A,17,20,8,2.6,144
Demshitz Brown Ale,Bonfire Brewing Company,Eagle,CO,American Brown Ale,12 oz.,5.80%,N/A,59,65,18,3.18,174
Firestarter India Pale Ale,Bonfire Brewing Company,Eagle,CO,American IPA,16 oz.,6.60%,72,44,15,20,3.03,198
Mistress Winter Wheat,Bonfire Brewing Company,Eagle,CO,Winter Warmer,12 oz.,6.40%,N/A,41,46,12,2.98,192
Boston Lager,Boston Beer Company,Boston,MA,Vienna Lager,12 oz.,4.90%,30,64,97,4155,3.21,144
Samuel Adams Summer Ale,Boston Beer Company,Boston,MA,American Pale Wheat Ale,12 oz.,5.30%,7,37,54,2209,2.94,159
Hazed & Infused,Boulder Beer Company,Boulder,CO,American Pale Ale (APA),12 oz.,4.90%,35,86,87,1311,3.4,150
Hoopla Pale Ale,Boulder Beer Company,Boulder,CO,American Pale Ale (APA),12 oz.,5.70%,35,54,45,188,3.15,171
Heavy Lifting IPA,Boulevard Brewing Company,Kansas City,MO,American IPA,12 oz.,6.20%,80,91,84,14,3.48,186
Bozone Select Amber Ale,Bozeman Brewing Company,Bozeman,MT,American Amber / Red Ale,12 oz.,5.50%,N/A,47,63,33,3.06,165
Avalanche Ale,Breckenridge Brewery,Denver,CO,American Amber / Red Ale,12 oz.,5.40%,19,19,15,775,2.68,162
Lucky U IPA,Breckenridge Brewery,Denver,CO,American IPA,12 oz.,6.20%,68,55,32,499,3.16,186
SummerBright Ale,Breckenridge Brewery,Denver,CO,American Pale Wheat Ale,12 oz.,4.50%,15,20,29,398,2.69,135
Big Red Coq,Brewery Vivant,Grand Rapids,MI,American Amber / Red Ale,16 oz.,6.30%,N/A,94,90,97,3.54,189
Contemplation,Brewery Vivant,Grand Rapids,MI,Bier de Garde,16 oz.,6.50%,N/A,46,47,40,3.06,195
Escoffier Bretta Ale,Brewery Vivant,Grand Rapids,MI,American Wild Ale,16 oz.,9.30%,N/A,92,55,91,3.51,278
Farm Hand,Brewery Vivant,Grand Rapids,MI,Saison / Farmhouse Ale,16 oz.,5.50%,N/A,65,37,142,3.22,165
Hubris Quadrupel Anniversary Ale,Brewery Vivant,Grand Rapids,MI,Quadrupel (Quad),16 oz.,13.00%,N/A,80,26,30,3.31,390
Kludde,Brewery Vivant,Grand Rapids,MI,Belgian Strong Dark Ale,16 oz.,8.50%,N/A,82,59,29,3.33,255
Plow Horse Belgian Style Imperial Stout,Brewery Vivant,Grand Rapids,MI,American Double / Imperial Stout,16 oz.,9.50%,N/A,98,76,32,3.73,285
Solitude,Brewery Vivant,Grand Rapids,MI,Belgian Pale Ale,16 oz.,6.00%,N/A,73,83,97,3.27,180
Tart Side of the Moon,Brewery Vivant,Grand Rapids,MI,Belgian Dark Ale,16 oz.,9.80%,N/A,96,94,82,3.62,294
Trebuchet Double IPA/Tree Bucket,Brewery Vivant,Grand Rapids,MI,Belgian IPA,16 oz.,9.30%,N/A,98,97,56,3.73,279
Triomphe,Brewery Vivant,Grand Rapids,MI,Belgian IPA,16 oz.,6.50%,N/A,83,62,128,3.36,195
Vivant Belgian Style Imperial Stout,Brewery Vivant,Grand Rapids,MI,Russian Imperial Stout,16 oz.,10.00%,N/A,87,28,11,3.4,300
Vivant Tripel,Brewery Vivant,Grand Rapids,MI,Tripel,16 oz.,8.30%,N/A,76,60,32,3.29,248
Zaison,Brewery Vivant,Grand Rapids,MI,Saison / Farmhouse Ale,16 oz.,9.00%,N/A,89,77,74,3.45,270
Fairweather IPA,Broken Tooth Brewing Company,Anchorage,AK,American IPA,12 oz.,6.10%,64,92,87,47,3.51,183
Northern Lights Amber Ale,Broken Tooth Brewing Company,Anchorage,AK,American Amber / Red Ale,12 oz.,5.00%,15,51,74,14,3.1,141
Polar Pale Ale,Broken Tooth Brewing Company,Anchorage,AK,American Pale Ale (APA),12 oz.,5.20%,17,70,56,16,3.22,153
Brooklyn Lager,Brooklyn Brewery,Brooklyn,NY,American Amber / Red Lager,12 oz.,5.20%,N/A,89,100,2173,3.44,156
Brooklyn Summer Ale,Brooklyn Brewery,Brooklyn,NY,English Pale Mild Ale,12 oz.,4.50%,N/A,42,59,714,3,135
East India Pale Ale,Brooklyn Brewery,Brooklyn,NY,English India Pale Ale (IPA),12 oz.,6.80%,47,86,70,1911,3.39,207
Black Noddy Lager (Current),Buckbean Brewing Company,Reno,NV,Schwarzbier,16 oz.,5.20%,40,35,32,180,2.91,156
Original Orange Blossom Ale (Current),Buckbean Brewing Company,Reno,NV,Herbed / Spiced Beer,16 oz.,5.80%,35,17,20,115,2.62,174
Tule Duck Red Ale (Current),Buckbean Brewing Company,Reno,NV,American Amber / Red Ale,16 oz.,6.20%,42,34,39,106,2.89,186
Very Noddy Lager (Current),Buckbean Brewing Company,Reno,NV,Schwarzbier,16 oz.,10.50%,N/A,86,94,25,3.39,315
Mucho Aloha Hawaiian Pale Ale,Butcher's Brewing,Carlsbad,CA,American Pale Ale (APA),12 oz.,5.60%,36,16,3,29,2.6,168
Heinnieweisse Weissebier,Butternuts Beer and Ale,Garrattsville,NY,Hefeweizen,12 oz.,4.90%,N/A,27,29,247,2.82,135
Moo Thunder Stout,Butternuts Beer and Ale,Garrattsville,NY,Milk / Sweet Stout,12 oz.,4.90%,N/A,44,20,340,3.03,150
Porkslap Pale Ale,Butternuts Beer and Ale,Garrattsville,NY,American Pale Ale (APA),12 oz.,4.30%,N/A,18,18,400,2.66,123
Snapperhead IPA,Butternuts Beer and Ale,Garrattsville,NY,American IPA,12 oz.,6.80%,N/A,21,3,340,2.71,204
Ashland Amber Ale,Caldera Brewing Company,Ashland,OR,American Amber / Red Ale,12 oz.,5.40%,24,82,95,256,3.35,168
Caldera IPA,Caldera Brewing Company,Ashland,OR,American IPA,12 oz.,6.10%,94,97,96,652,3.64,183
Caldera Pale Ale,Caldera Brewing Company,Ashland,OR,American Pale Ale (APA),12 oz.,5.60%,55,86,88,366,3.4,144
Lawnmower Lager,Caldera Brewing Company,Ashland,OR,American Adjunct Lager,12 oz.,3.90%,16,37,99,79,2.94,117
Island Wheat,Capital Brewery,Middleton,WI,American Pale Wheat Ale,12 oz.,4.20%,N/A,42,66,210,3.01,N/A
Supper Club Lager,Capital Brewery,Middleton,WI,American Pale Lager,12 oz.,5.00%,N/A,29,98,181,2.84,150
U.S. Pale Ale,Capital Brewery,Middleton,WI,American Pale Ale (APA),12 oz.,5.00%,N/A,49,40,130,3.1,150
Wisconsin Amber,Capital Brewery,Middleton,WI,Vienna Lager,12 oz.,5.20%,N/A,66,97,346,3.23,153
Flagship IPA,Carolina Brewery,Pittsboro,NC,English India Pale Ale (IPA),12 oz.,5.70%,87,68,42,131,3.24,171
Sky Blue Golden Ale,Carolina Brewery,Pittsboro,NC,Kolsch,12 oz.,5.10%,15,23,28,84,2.75,153
077XX,Carton Brewing,Atlantic Highlands,NJ,American Double / Imperial IPA,16 oz.,7.80%,80,97,89,108,3.68,234
Boat Beer,Carton Brewing,Atlantic Highlands,NJ,American IPA,16 oz.,4.20%,35,97,99,201,3.65,126
Farmer Ted's Farmhouse Cream Ale,Catawba Valley Brewing Company,Morganton,NC,Cream Ale,12 oz.,5.60%,N/A,29,44,75,2.83,150
Firewater India Pale Ale,Catawba Valley Brewing Company,Morganton,NC,American IPA,12 oz.,5.20%,N/A,75,48,130,3.29,156
White Zombie Ale,Catawba Valley Brewing Company,Morganton,NC,Witbier,12 oz.,4.70%,N/A,47,65,80,3.09,141
The Lawn Ranger,Cedar Creek Brewery,Seven Points,TX,Cream Ale,16 oz.,5.00%,18,25,38,41,2.78,135
Churchkey Pilsner Style Beer,Churchkey Can Company,Seattle,WA,American Pilsner,12 oz.,4.90%,29,45,87,39,3.05,147
Florida Cracker Belgian Wit,Cigar City Brewing Company,Tampa,FL,Witbier,12 oz.,5.00%,18,88,98,431,3.43,150
Hotter Than Helles Lager,Cigar City Brewing Company,Tampa,FL,Munich Helles Lager,12 oz.,5.00%,N/A,77,99,311,3.3,150
Humidor Series India Pale Ale,Cigar City Brewing Company,Tampa,FL,American IPA,12 oz.,7.50%,70,100,100,759,3.93,225
Invasion Pale Ale,Cigar City Brewing Company,Tampa,FL,American Pale Ale (APA),12 oz.,5.00%,N/A,97,99,345,3.67,150
Jai Alai IPA,Cigar City Brewing Company,Tampa,FL,American IPA,12 oz.,7.50%,70,99,99,1481,3.85,224
Jai Alai IPA Aged on White Oak,Cigar City Brewing Company,Tampa,FL,American IPA,12 oz.,7.50%,70,99,100,433,3.85,225
Jose Marti American Porter,Cigar City Brewing Company,Tampa,FL,American Porter,12 oz.,8.00%,65,98,90,404,3.76,240
Maduro Brown Ale,Cigar City Brewing Company,Tampa,FL,American Brown Ale,12 oz.,5.50%,25,94,98,966,3.56,165
Tocobaga Red Ale,Cigar City Brewing Company,Tampa,FL,American Amber / Red Ale,12 oz.,7.20%,75,98,100,415,3.71,216
Grey Lady,Cisco Brewers,Nantucket,MA,Witbier,12 oz.,4.50%,N/A,47,64,271,3.07,135
Indie Pale Ale,Cisco Brewers,Nantucket,MA,American IPA,12 oz.,6.50%,66,83,63,252,3.36,195
Sankaty Light Lager,Cisco Brewers,Nantucket,MA,Light Lager,12 oz.,3.80%,N/A,39,84,150,2.96,114
Summer of Lager,Cisco Brewers,Nantucket,MA,Munich Helles Lager,12 oz.,6.20%,N/A,81,97,193,3.33,165
Whale's Tale Pale Ale,Cisco Brewers,Nantucket,MA,English Pale Ale,12 oz.,5.60%,N/A,46,71,464,3.06,168
Hurricane Amber Ale,Coastal Extreme Brewing Company,Newport,RI,American Amber / Red Ale,12 oz.,5.20%,24,34,39,214,2.9,156
Capital Gold Golden Lager,Confluence Brewing Company,Des Moines,IA,German Pilsener,16 oz.,4.80%,22,38,83,14,2.95,144
Des Moines IPA,Confluence Brewing Company,Des Moines,IA,American IPA,16 oz.,6.80%,75,91,83,47,3.47,213
Farmer John's Multi-Grain Ale,Confluence Brewing Company,Des Moines,IA,American Blonde Ale,16 oz.,5.60%,21,47,77,18,3.07,168
Horny Toad Cerveza,COOP Ale Works,Oklahoma City,OK,American Blonde Ale,16 oz.,5.30%,25,26,31,42,2.8,159
Native Amber,COOP Ale Works,Oklahoma City,OK,American Amber / Red Ale,16 oz.,6.30%,35,79,94,72,3.33,183
Cougar Bait,Country Boy Brewing,Lexington,KY,American Blonde Ale,12 oz.,4.90%,N/A,40,53,36,2.98,147
Heiner Brau Kolsch,Covington Brewhouse,Covington,LA,Kolsch,12 oz.,5.00%,N/A,35,46,40,2.88,N/A
Crabtree Oatmeal Stout,Crabtree Brewing Company,Greeley,CO,Oatmeal Stout,16 oz.,7.50%,29,48,31,35,3.09,225
Eclipse Black IPA,Crabtree Brewing Company,Greeley,CO,American Black Ale,16 oz.,7.70%,71,77,33,33,3.3,231
Boohai Red Ale,Crazy Mountain Brewing Company,Edwards,CO,American Amber / Red Ale,12 oz.,6.00%,N/A,37,42,20,2.93,N/A
Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,Edwards,CO,American Amber / Red Ale,12 oz.,5.20%,25,42,49,110,3,156
Lava Lake Wit,Crazy Mountain Brewing Company,Edwards,CO,Witbier,12 oz.,5.20%,15,35,41,107,2.91,156
Mountain Livin' Pale Ale,Crazy Mountain Brewing Company,Edwards,CO,American Pale Ale (APA),12 oz.,6.00%,N/A,44,31,221,3.03,171
3 Picket Porter,Crooked Fence Brewing Company,Garden City,ID,American Porter,12 oz.,5.50%,N/A,88,85,31,3.42,165
Rusty Nail Pale Ale,Crooked Fence Brewing Company,Garden City,ID,American Pale Ale (APA),12 oz.,5.60%,N/A,46,35,24,3.06,165
11th Hour IPA,Crow Peak Brewing Company,Spearfish,SD,American IPA,12 oz.,6.00%,N/A,53,29,134,3.14,195
Canyon Cream Ale,Crow Peak Brewing Company,Spearfish,SD,Cream Ale,12 oz.,5.50%,10,12,9,43,2.44,150
Pile O'Dirt Porter,Crow Peak Brewing Company,Spearfish,SD,American Porter,12 oz.,6.90%,N/A,79,65,132,3.32,207
Summertime Ale,Crystal Springs Brewing Company,Boulder,CO,Kolsch,16 oz.,5.20%,27,15,7,12,2.54,156
Dank IPA,Dad & Dude's Breweria,Aurora,CO,American IPA,16 oz.,6.50%,65,62,37,41,3.2,195
BrewFarm Select Golden Lager,Dave's Brewfarm,Wilson,WI,American Pale Lager,12 oz.,5.50%,N/A,35,99,51,2.86,165
On the Wings of Armageddon,DC Brau Brewing Company,"Washington, DC",DC,American Double / Imperial IPA,12 oz.,9.20%,115,99,97,217,3.85,276
Penn Quarter Porter,DC Brau Brewing Company,"Washington, DC",DC,American Porter,12 oz.,5.50%,N/A,97,98,195,3.64,165
